Latitude,Longitude
34.0522,-118.244
34.2012,-117.839
34.3486,-117.433
34.4944,-117.027
34.6385,-116.62
34.7809,-116.213
34.9217,-115.805
35.0609,-115.397
35.1984,-114.988
35.3343,-114.578
35.4686,-114.168
35.6013,-113.757
35.7323,-113.345
35.8617,-112.933
35.9895,-112.52
36.1156,-112.107
36.2402,-111.692
36.3631,-111.278
36.4844,-110.862
36.604,-110.446
36.7221,-110.029
36.8386,-109.611
36.9534,-109.193
37.0666,-108.773
37.1782,-108.354
37.2882,-107.933
37.3966,-107.512
37.5034,-107.089
37.6085,-106.667
37.712,-106.243
37.814,-105.819
37.9143,-105.393
38.0129,-104.967
38.11,-104.541
38.2054,-104.113
38.2993,-103.685
38.3915,-103.256
38.482,-102.826
38.571,-102.395
38.6583,-101.963
38.7439,-101.531
38.828,-101.098
38.9104,-100.663
38.9912,-100.229
39.0703,-99.7928
39.1478,-99.3561
39.2236,-98.9186
39.2977,-98.4803
39.3703,-98.0411
39.4411,-97.6011
39.5103,-97.1601
39.5778,-96.7183
39.6437,-96.2757
39.7078,-95.8321
39.7703,-95.3877
39.8311,-94.9424
39.8902,-94.4963
39.9477,-94.0492
40.0034,-93.6013
40.0574,-93.1524
40.1097,-92.7027
40.1602,-92.2521
40.2091,-91.8007
40.2562,-91.3483
40.3016,-90.895
40.3452,-90.4409
40.3871,-89.9859
40.4272,-89.53
40.4655,-89.0732
40.5021,-88.6155
40.5369,-88.1569
40.57,-87.6975
40.6012,-87.2371
40.6306,-86.7759
40.6583,-86.3138
40.6841,-85.8509
40.708,-85.3871
40.7302,-84.9224
40.7505,-84.4568
40.769,-83.9904
40.7856,-83.5231
40.8003,-83.055
40.8132,-82.586
40.8241,-82.1162
40.8332,-81.6455
40.8404,-81.174
40.8456,-80.7017
40.849,-80.2286
40.8504,-79.7546
40.8498,-79.2798
40.8474,-78.8043
40.8429,-78.3279
40.8365,-77.8507
40.8281,-77.3728
40.8177,-76.8941
40.8053,-76.4146
40.7908,-75.9344
40.7744,-75.4534
40.7559,-74.9717
40.7354,-74.4892
40.7128,-74.006
